"slidemap";"matrix";"x";"y";"positive_tumor_cells";"staining_intensity";"spot_quality";"sample_predect";"abcode";"pic"
"pko.hbn.1a.40";"36";"14";"5";">30%";"Strong (+++)";"null";"WP1_46.TPKo";40;"75_36_14_5_3567.jpg"
"pko.hbn.1a.40";"36";"14";"6";"null";"null";"Not representative";"WP1_55.TPKo";40;"75_36_14_6_3549.jpg"
"pko.hbn.1a.40";"36";"14";"8";"5-15%";"Moderate (++)";"null";"WP1_65.TPKo";40;"75_36_14_8_3535.jpg"
"pko.hbn.1a.40";"36";"14";"9";"null";"null";"Deatched";"WP1_74.TPKo";40;"75_36_14_9_3651.jpg"
"pko.hbn.1a.40";"36";"15";"1";">0% and <5%";"Strong (+++)";"null";"WP1_7.TPKo";40;"75_36_15_1_3643.jpg"
"pko.hbn.1a.40";"36";"15";"10";"null";"null";"Deatched";"WP1_84.TPKo";40;"75_36_15_10_3649.jpg"
"pko.hbn.1a.40";"36";"15";"11";"16-30%";"Strong (+++)";"null";"WP1_94.TPKo";40;"75_36_15_11_3485.jpg"
"pko.hbn.1a.40";"36";"15";"12";">0% and <5%";"Strong (+++)";"null";"WP1_103.TPKo";40;"75_36_15_12_3465.jpg"
"pko.hbn.1a.40";"36";"15";"13";">0% and <5%";"Strong (+++)";"null";"WP1_113.TPKo";40;"75_36_15_13_3445.jpg"
"pko.hbn.1a.40";"36";"15";"2";"5-15%";"Strong (+++)";"null";"WP1_17.TPKo";40;"75_36_15_2_3625.jpg"
"pko.hbn.1a.40";"36";"15";"3";">0% and <5%";"Strong (+++)";"null";"WP1_27.TPKo";40;"75_36_15_3_3607.jpg"
"pko.hbn.1a.40";"36";"15";"4";">30%";"Strong (+++)";"null";"WP1_37.TPKo";40;"75_36_15_4_3587.jpg"
"pko.hbn.1a.40";"36";"15";"5";"null";"null";"Not representative";"WP1_46.TPKo";40;"75_36_15_5_3568.jpg"
"pko.hbn.1a.40";"36";"15";"6";"null";"null";"Not representative";"WP1_56.TPKo";40;"75_36_15_6_3550.jpg"
"pko.hbn.1a.40";"36";"15";"8";">0% and <5%";"null";"null";"WP1_65.TPKo";40;"75_36_15_8_3536.jpg"
"pko.hbn.1a.40";"36";"15";"9";">30%";"Strong (+++)";"null";"WP1_75.TPKo";40;"75_36_15_9_3519.jpg"
"pko.hbn.1a.40";"36";"16";"1";">0% and <5%";"Moderate (++)";"null";"WP1_8.TPKo";40;"75_36_16_1_3644.jpg"
"pko.hbn.1a.40";"36";"16";"10";">30%";"Strong (+++)";"null";"WP1_85.TPKo";40;"75_36_16_10_3507.jpg"
"pko.hbn.1a.40";"36";"16";"11";"5-15%";"Strong (+++)";"null";"WP1_94.TPKo";40;"75_36_16_11_3490.jpg"
"pko.hbn.1a.40";"36";"16";"12";"5-15%";"Strong (+++)";"null";"WP1_104.TPKo";40;"75_36_16_12_3472.jpg"
"pko.hbn.1a.40";"36";"16";"13";"16-30%";"Moderate (++)";"null";"WP1_113.TPKo";40;"75_36_16_13_3448.jpg"
"pko.hbn.1a.40";"36";"16";"2";">30%";"Moderate (++)";"null";"WP1_18.TPKo";40;"75_36_16_2_3627.jpg"
"pko.hbn.1a.40";"36";"16";"3";"5-15%";"Moderate (++)";"null";"WP1_28.TPKo";40;"75_36_16_3_3610.jpg"
"pko.hbn.1a.40";"36";"16";"4";"16-30%";"Strong (+++)";"null";"WP1_37.TPKo";40;"75_36_16_4_3591.jpg"
"pko.hbn.1a.40";"36";"16";"5";"null";"null";"Not representative";"WP1_47.TPKo";40;"75_36_16_5_3571.jpg"
"pko.hbn.1a.40";"36";"16";"6";"null";"null";"Not representative";"WP1_56.TPKo";40;"75_36_16_6_3551.jpg"
"pko.hbn.1a.40";"36";"16";"8";">0% and <5%";"Strong (+++)";"null";"WP1_66.TPKo";40;"75_36_16_8_3537.jpg"
"pko.hbn.1a.40";"36";"16";"9";">30%";"Strong (+++)";"null";"WP1_75.TPKo";40;"75_36_16_9_3520.jpg"
"pko.hbn.1a.40";"36";"17";"1";"16-30%";"Moderate (++)";"null";"WP1_8.TPKo";40;"75_36_17_1_3642.jpg"
"pko.hbn.1a.40";"36";"17";"10";">30%";"Strong (+++)";"null";"WP1_85.TPKo";40;"75_36_17_10_3508.jpg"
"pko.hbn.1a.40";"36";"17";"11";">30%";"Moderate (++)";"null";"WP1_95.TPKo";40;"75_36_17_11_3491.jpg"
"pko.hbn.1a.40";"36";"17";"12";"16-30%";"Strong (+++)";"null";"WP1_104.TPKo";40;"75_36_17_12_3473.jpg"
"pko.hbn.1a.40";"36";"17";"13";"0%";"Neg (-)";"Not representative";"WP1_114.TPKo";40;"75_36_17_13_3451.jpg"
"pko.hbn.1a.40";"36";"17";"2";"null";"null";"Not representative";"WP1_18.TPKo";40;"75_36_17_2_3628.jpg"
"pko.hbn.1a.40";"36";"17";"3";"null";"null";"Not representative";"WP1_28.TPKo";40;"75_36_17_3_3608.jpg"
"pko.hbn.1a.40";"36";"17";"4";"16-30%";"Strong (+++)";"null";"WP1_38.TPKo";40;"75_36_17_4_3588.jpg"
"pko.hbn.1a.40";"36";"17";"5";"5-15%";"Moderate (++)";"null";"WP1_47.TPKo";40;"75_36_17_5_3573.jpg"
"pko.hbn.1a.40";"36";"17";"6";"5-15%";"Strong (+++)";"null";"WP1_57.TPKo";40;"75_36_17_6_3556.jpg"
"pko.hbn.1a.40";"36";"17";"8";"null";"null";"Not representative";"WP1_66.TPKo";40;"75_36_17_8_3538.jpg"
"pko.hbn.1a.40";"36";"17";"9";"null";"null";"Deatched";"WP1_76.TPKo";40;"75_36_17_9_3650.jpg"
"pko.hbn.1a.40";"36";"18";"1";">0% and <5%";"Strong (+++)";"null";"WP1_9.TPKo";40;"75_36_18_1_3645.jpg"
"pko.hbn.1a.40";"36";"18";"10";">0% and <5%";"Strong (+++)";"null";"WP1_86.TPKo";40;"75_36_18_10_3501.jpg"
"pko.hbn.1a.40";"36";"18";"11";">30%";"Strong (+++)";"null";"WP1_95.TPKo";40;"75_36_18_11_3492.jpg"
"pko.hbn.1a.40";"36";"18";"12";">30%";"Strong (+++)";"null";"WP1_105.TPKo";40;"75_36_18_12_3474.jpg"
"pko.hbn.1a.40";"36";"18";"13";"0%";"Neg (-)";"null";"WP1_114.TPKo";40;"75_36_18_13_3452.jpg"
"pko.hbn.1a.40";"36";"18";"2";">0% and <5%";"Moderate (++)";"null";"WP1_19.TPKo";40;"75_36_18_2_3629.jpg"
"pko.hbn.1a.40";"36";"18";"3";"16-30%";"Strong (+++)";"null";"WP1_29.TPKo";40;"75_36_18_3_3611.jpg"
"pko.hbn.1a.40";"36";"18";"4";"16-30%";"Strong (+++)";"null";"WP1_38.TPKo";40;"75_36_18_4_3589.jpg"
"pko.hbn.1a.40";"36";"18";"5";"null";"null";"Not representative";"WP1_48.TPKo";40;"75_36_18_5_3572.jpg"
"pko.hbn.1a.40";"36";"18";"6";"0%";"Neg (-)";"null";"WP1_57.TPKo";40;"75_36_18_6_3554.jpg"
"pko.hbn.1a.40";"36";"18";"8";"null";"null";"Not representative";"WP1_67.TPKo";40;"75_36_18_8_3673.jpg"
"pko.hbn.1a.40";"36";"18";"9";"5-15%";"Strong (+++)";"null";"WP1_76.TPKo";40;"75_36_18_9_3522.jpg"
"pko.hbn.1a.40";"36";"19";"1";"0%";"Neg (-)";"null";"WP1_9.TPKo";40;"75_36_19_1_3646.jpg"
"pko.hbn.1a.40";"36";"19";"10";">0% and <5%";"Strong (+++)";"null";"WP1_86.TPKo";40;"75_36_19_10_3509.jpg"
"pko.hbn.1a.40";"36";"19";"11";"null";"null";"Deatched";"WP1_96.TPKo";40;"75_36_19_11_3675.jpg"
"pko.hbn.1a.40";"36";"19";"12";"null";"null";"Deatched";"WP1_105.TPKo";40;"75_36_19_12_3676.jpg"
"pko.hbn.1a.40";"36";"19";"13";"null";"null";"Not representative";"WP1_115.TPKo";40;"75_36_19_13_3454.jpg"
"pko.hbn.1a.40";"36";"19";"2";"null";"null";"Not representative";"WP1_19.TPKo";40;"75_36_19_2_3626.jpg"
"pko.hbn.1a.40";"36";"19";"3";">30%";"null";"null";"WP1_29.TPKo";40;"75_36_19_3_3609.jpg"
"pko.hbn.1a.40";"36";"19";"4";">30%";"Strong (+++)";"null";"WP1_39.TPKo";40;"75_36_19_4_3682.jpg"
"pko.hbn.1a.40";"36";"19";"5";"null";"null";"Deatched";"WP1_48.TPKo";40;"75_36_19_5_3683.jpg"
"pko.hbn.1a.40";"36";"19";"6";">0% and <5%";"Weak (+)";"null";"WP1_58.TPKo";40;"75_36_19_6_3555.jpg"
"pko.hbn.1a.40";"36";"19";"8";"null";"null";"Deatched";"WP1_67.TPKo";40;"75_36_19_8_3674.jpg"
"pko.hbn.1a.40";"36";"19";"9";"16-30%";"Moderate (++)";"null";"WP1_77.TPKo";40;"75_36_19_9_3523.jpg"
"pko.hbn.1a.40";"36";"2";"1";"16-30%";"Moderate (++)";"null";"WP1_1.TPKo";40;"75_36_2_1_3631.jpg"
"pko.hbn.1a.40";"36";"2";"10";"null";"null";"Not representative";"WP1_78.TPKo";40;"75_36_2_10_3499.jpg"
"pko.hbn.1a.40";"36";"2";"11";">0% and <5%";"Strong (+++)";"null";"WP1_88.TPKo";40;"75_36_2_11_3477.jpg"
"pko.hbn.1a.40";"36";"2";"12";"5-15%";"Moderate (++)";"null";"WP1_97.TPKo";40;"75_36_2_12_3459.jpg"
"pko.hbn.1a.40";"36";"2";"13";"0%";"Neg (-)";"null";"WP1_107.TPKo";40;"75_36_2_13_3441.jpg"
"pko.hbn.1a.40";"36";"2";"2";"5-15%";"Moderate (++)";"null";"WP1_11.TPKo";40;"75_36_2_2_3613.jpg"
"pko.hbn.1a.40";"36";"2";"3";"null";"null";"Not representative";"WP1_21.TPKo";40;"75_36_2_3_3594.jpg"
"pko.hbn.1a.40";"36";"2";"4";"5-15%";"Moderate (++)";"null";"WP1_31.TPKo";40;"75_36_2_4_3664.jpg"
"pko.hbn.1a.40";"36";"2";"5";">0% and <5%";"Strong (+++)";"null";"WP1_40.TPKo";40;"75_36_2_5_3559.jpg"
"pko.hbn.1a.40";"36";"2";"6";"16-30%";"Strong (+++)";"null";"WP1_50.TPKo";40;"75_36_2_6_3542.jpg"
"pko.hbn.1a.40";"36";"2";"8";"5-15%";"Strong (+++)";"null";"WP1_59.TPKo";40;"75_36_2_8_3525.jpg"
"pko.hbn.1a.40";"36";"2";"9";"null";"null";"Deatched";"WP1_69.TPKo";40;"75_36_2_9_3663.jpg"
"pko.hbn.1a.40";"36";"20";"1";"16-30%";"Strong (+++)";"null";"WP1_10.TPKo";40;"75_36_20_1_3681.jpg"
"pko.hbn.1a.40";"36";"20";"10";"16-30%";"Strong (+++)";"null";"WP1_87.TPKo";40;"75_36_20_10_3510.jpg"
"pko.hbn.1a.40";"36";"20";"11";"null";"null";"Deatched";"WP1_96.TPKo";40;"75_36_20_11_3677.jpg"
"pko.hbn.1a.40";"36";"20";"12";"16-30%";"Strong (+++)";"null";"WP1_106.TPKo";40;"75_36_20_12_3475.jpg"
"pko.hbn.1a.40";"36";"20";"13";"null";"null";"Not representative";"WP1_115.TPKo";40;"75_36_20_13_3455.jpg"
"pko.hbn.1a.40";"36";"20";"2";"0%";"Neg (-)";"null";"WP1_20.TPKo";40;"75_36_20_2_3680.jpg"
"pko.hbn.1a.40";"36";"20";"3";"null";"null";"Not representative";"WP1_30.TPKo";40;"75_36_20_3_3604.jpg"
"pko.hbn.1a.40";"36";"20";"4";">30%";"Moderate (++)";"null";"WP1_39.TPKo";40;"75_36_20_4_3592.jpg"
"pko.hbn.1a.40";"36";"20";"5";">0% and <5%";"Strong (+++)";"null";"WP1_49.TPKo";40;"75_36_20_5_3574.jpg"
"pko.hbn.1a.40";"36";"20";"6";"null";"null";"Not representative";"WP1_58.TPKo";40;"75_36_20_6_3552.jpg"
"pko.hbn.1a.40";"36";"20";"8";"0%";"Neg (-)";"Not representative";"WP1_68.TPKo";40;"75_36_20_8_3539.jpg"
"pko.hbn.1a.40";"36";"20";"9";"null";"null";"Not representative";"WP1_77.TPKo";40;"75_36_20_9_3678.jpg"
"pko.hbn.1a.40";"36";"21";"1";"5-15%";"Moderate (++)";"null";"WP1_10.TPKo";40;"75_36_21_1_3640.jpg"
"pko.hbn.1a.40";"36";"21";"2";">0% and <5%";"Strong (+++)";"null";"WP1_20.TPKo";40;"75_36_21_2_3623.jpg"
"pko.hbn.1a.40";"36";"22";"10";">0% and <5%";"Moderate (++)";"null";"WP1_119.TPKo";40;"75_36_22_10_3511.jpg"
"pko.hbn.1a.40";"36";"22";"11";">0% and <5%";"Moderate (++)";"null";"WP1_120.TPKo";40;"75_36_22_11_3493.jpg"
"pko.hbn.1a.40";"36";"22";"12";"null";"null";"Not representative";"WP1_121.TPKo";40;"75_36_22_12_3476.jpg"
"pko.hbn.1a.40";"36";"22";"13";"null";"null";"Not representative";"WP1_123.TPKo";40;"75_36_22_13_3457.jpg"
"pko.hbn.1a.40";"36";"22";"8";"5-15%";"Strong (+++)";"null";"WP1_116.TPKo";40;"75_36_22_8_3540.jpg"
"pko.hbn.1a.40";"36";"22";"9";"null";"null";"Not representative";"WP1_118.TPKo";40;"75_36_22_9_3679.jpg"
"pko.hbn.1a.40";"36";"3";"1";"null";"null";"Not representative";"WP1_2.TPKo";40;"75_36_3_1_3632.jpg"
"pko.hbn.1a.40";"36";"3";"10";"5-15%";"Strong (+++)";"null";"WP1_79.TPKo";40;"75_36_3_10_3494.jpg"
"pko.hbn.1a.40";"36";"3";"11";"5-15%";"Strong (+++)";"null";"WP1_88.TPKo";40;"75_36_3_11_3478.jpg"
"pko.hbn.1a.40";"36";"3";"12";"null";"null";"Not representative";"WP1_98.TPKo";40;"75_36_3_12_3460.jpg"
"pko.hbn.1a.40";"36";"3";"13";">0% and <5%";"Strong (+++)";"null";"WP1_107.TPKo";40;"75_36_3_13_3436.jpg"
"pko.hbn.1a.40";"36";"3";"2";"null";"null";"Not representative";"WP1_12.TPKo";40;"75_36_3_2_3614.jpg"
"pko.hbn.1a.40";"36";"3";"3";"16-30%";"Strong (+++)";"null";"WP1_22.TPKo";40;"75_36_3_3_3595.jpg"
"pko.hbn.1a.40";"36";"3";"4";"5-15%";"Moderate (++)";"null";"WP1_31.TPKo";40;"75_36_3_4_3576.jpg"
"pko.hbn.1a.40";"36";"3";"5";"5-15%";"Strong (+++)";"null";"WP1_41.TPKo";40;"75_36_3_5_3558.jpg"
"pko.hbn.1a.40";"36";"3";"6";"null";"null";"Not representative";"WP1_50.TPKo";40;"75_36_3_6_3543.jpg"
"pko.hbn.1a.40";"36";"3";"8";"5-15%";"Strong (+++)";"null";"WP1_60.TPKo";40;"75_36_3_8_3527.jpg"
"pko.hbn.1a.40";"36";"3";"9";"0%";"Neg (-)";"null";"WP1_69.TPKo";40;"75_36_3_9_3513.jpg"
"pko.hbn.1a.40";"36";"4";"1";">30%";"Moderate (++)";"null";"WP1_2.TPKo";40;"75_36_4_1_3633.jpg"
"pko.hbn.1a.40";"36";"4";"10";"null";"null";"Not representative";"WP1_79.TPKo";40;"75_36_4_10_3496.jpg"
"pko.hbn.1a.40";"36";"4";"11";">0% and <5%";"Moderate (++)";"null";"WP1_89.TPKo";40;"75_36_4_11_3479.jpg"
"pko.hbn.1a.40";"36";"4";"12";"5-15%";"Strong (+++)";"null";"WP1_98.TPKo";40;"75_36_4_12_3458.jpg"
"pko.hbn.1a.40";"36";"4";"13";">30%";"Moderate (++)";"null";"WP1_108.TPKo";40;"75_36_4_13_3437.jpg"
"pko.hbn.1a.40";"36";"4";"2";"null";"null";"Not representative";"WP1_12.TPKo";40;"75_36_4_2_3615.jpg"
"pko.hbn.1a.40";"36";"4";"3";">30%";"Moderate (++)";"null";"WP1_22.TPKo";40;"75_36_4_3_3596.jpg"
"pko.hbn.1a.40";"36";"4";"4";"5-15%";"Strong (+++)";"null";"WP1_32.TPKo";40;"75_36_4_4_3577.jpg"
"pko.hbn.1a.40";"36";"4";"5";"null";"null";"Not representative";"WP1_41.TPKo";40;"75_36_4_5_3560.jpg"
"pko.hbn.1a.40";"36";"4";"6";"16-30%";"Strong (+++)";"null";"WP1_51.TPKo";40;"75_36_4_6_3544.jpg"
"pko.hbn.1a.40";"36";"4";"8";"5-15%";"Strong (+++)";"null";"WP1_60.TPKo";40;"75_36_4_8_3528.jpg"
"pko.hbn.1a.40";"36";"4";"9";"null";"null";"Not representative";"WP1_70.TPKo";40;"75_36_4_9_3662.jpg"
"pko.hbn.1a.40";"36";"5";"1";"5-15%";"Moderate (++)";"null";"WP1_3.TPKo";40;"75_36_5_1_3634.jpg"
"pko.hbn.1a.40";"36";"5";"10";"16-30%";"Strong (+++)";"null";"WP1_80.TPKo";40;"75_36_5_10_3500.jpg"
"pko.hbn.1a.40";"36";"5";"11";">0% and <5%";"Strong (+++)";"null";"WP1_89.TPKo";40;"75_36_5_11_3480.jpg"
"pko.hbn.1a.40";"36";"5";"12";"null";"null";"Not representative";"WP1_99.TPKo";40;"75_36_5_12_3655.jpg"
"pko.hbn.1a.40";"36";"5";"13";"null";"null";"Not representative";"WP1_108.TPKo";40;"75_36_5_13_3438.jpg"
"pko.hbn.1a.40";"36";"5";"2";"5-15%";"Strong (+++)";"null";"WP1_13.TPKo";40;"75_36_5_2_3616.jpg"
"pko.hbn.1a.40";"36";"5";"3";">30%";"Moderate (++)";"null";"WP1_23.TPKo";40;"75_36_5_3_3597.jpg"
"pko.hbn.1a.40";"36";"5";"4";"16-30%";"Moderate (++)";"null";"WP1_32.TPKo";40;"75_36_5_4_3578.jpg"
"pko.hbn.1a.40";"36";"5";"5";"16-30%";"Strong (+++)";"null";"WP1_42.TPKo";40;"75_36_5_5_3561.jpg"
"pko.hbn.1a.40";"36";"5";"6";"16-30%";"Moderate (++)";"null";"WP1_51.TPKo";40;"75_36_5_6_3545.jpg"
"pko.hbn.1a.40";"36";"5";"8";"null";"null";"Deatched";"WP1_61.TPKo";40;"75_36_5_8_3660.jpg"
"pko.hbn.1a.40";"36";"5";"9";"null";"null";"Deatched";"WP1_70.TPKo";40;"75_36_5_9_3659.jpg"
"pko.hbn.1a.40";"36";"6";"1";"null";"null";"Deatched";"WP1_3.TPKo";40;"75_36_6_1_3671.jpg"
"pko.hbn.1a.40";"36";"6";"10";"16-30%";"Strong (+++)";"null";"WP1_80.TPKo";40;"75_36_6_10_3657.jpg"
"pko.hbn.1a.40";"36";"6";"11";">0% and <5%";"Moderate (++)";"null";"WP1_90.TPKo";40;"75_36_6_11_3481.jpg"
"pko.hbn.1a.40";"36";"6";"12";"null";"null";"Not representative";"WP1_99.TPKo";40;"75_36_6_12_3656.jpg"
"pko.hbn.1a.40";"36";"6";"13";"0%";"Neg (-)";"null";"WP1_109.TPKo";40;"75_36_6_13_3442.jpg"
"pko.hbn.1a.40";"36";"6";"2";"5-15%";"Moderate (++)";"null";"WP1_13.TPKo";40;"75_36_6_2_3617.jpg"
"pko.hbn.1a.40";"36";"6";"3";">30%";"Strong (+++)";"null";"WP1_23.TPKo";40;"75_36_6_3_3598.jpg"
"pko.hbn.1a.40";"36";"6";"4";"5-15%";"Moderate (++)";"null";"WP1_33.TPKo";40;"75_36_6_4_3579.jpg"
"pko.hbn.1a.40";"36";"6";"5";"16-30%";"Moderate (++)";"null";"WP1_42.TPKo";40;"75_36_6_5_3562.jpg"
"pko.hbn.1a.40";"36";"6";"6";">0% and <5%";"Strong (+++)";"null";"WP1_52.TPKo";40;"75_36_6_6_3546.jpg"
"pko.hbn.1a.40";"36";"6";"8";"null";"null";"Deatched";"WP1_61.TPKo";40;"75_36_6_8_3661.jpg"
"pko.hbn.1a.40";"36";"6";"9";"16-30%";"Strong (+++)";"null";"WP1_71.TPKo";40;"75_36_6_9_3658.jpg"
"pko.hbn.1a.40";"36";"7";"1";"null";"null";"Not representative";"WP1_4.TPKo";40;"75_36_7_1_3672.jpg"
